truwav	sens	eff	mono_wl	correct to CCDpos	new sens_mAsph/Wdew
236	141.35	0.743	240	2.71966838	384.4251255
241	140.601	0.724	245	2.826076536	397.349187
246	137.026	0.689	250	2.782327645	381.2512279
251	131.929	0.649	255	2.77945415	366.6906065
256	126.025	0.611	260	2.94990896	371.7622767
261	118.232	0.563	265	2.826604677	334.1951242
266	108.889	0.507	270	2.908855763	316.7423951
271	102.044	0.465	275	2.958856273	301.9335295
276	100.636	0.452	280	2.942424495	296.1138315
281	103.998	0.461	285	3.026298409	314.7289819
286	110.681	0.482	290	3.028313899	335.1768107
291	118.57	0.507	295	3.049923324	361.6294085
296	125.937	0.529	300	3.078438396	387.6892962
301	132.116	0.546	305	3.087469771	407.9041563
306	136.676	0.554	310	3.083940365	421.5006333
311	139.387	0.555	315	3.084908892	429.9961958
316	140.697	0.552	320	3.078080571	433.0767021
321	142.496	0.551	325	3.059975876	436.0343224
326	145.882	0.555	330	3.046358927	444.408933
331	149.743	0.56	335	3.034708315	454.4263273
336	152.798	0.562	340	3.027311124	462.5670851
341	154.069	0.559	345	3.004202136	462.8544189
346	153.501	0.548	350	3.002189738	460.8391269
351	153.009	0.539	355	2.975431419	455.267786
356	153.648	0.534	360	2.972299012	456.6877985
361	153.951	0.528	365	2.974200339	457.8811163
366	153.421	0.52	370	2.948353488	452.3393406
371	154.466	0.516	375	2.949155249	455.5442147
376	158.764	0.524	380	2.952789965	468.796746
381	165.48	0.539	385	2.957086463	489.338668
386	173.244	0.556	390	2.973981216	515.2244018
391	180.255	0.571	395	2.976083799	536.4539852
396	185.501	0.58	400	2.979694351	552.7362819
401	189.852	0.587	405	2.994640625	568.5385119
406	194.115	0.593	410	3.015982809	585.4475029
411	198.376	0.598	415	3.00509839	596.1393982
416	202.622	0.603	420	3.038280464	615.6224641
421	206.841	0.608	425	3.027216719	626.1525335
426	211.01	0.613	430	3.042449099	641.9871844
431	215.081	0.618	435	3.047795632	655.5229323
436	219.003	0.622	440	3.057065648	669.506548
441	222.726	0.626	445	3.071452816	684.0923999
446	226.222	0.628	450	3.081552514	697.1149729
451	229.511	0.63	455	3.089486734	709.0711899
456	232.621	0.632	460	3.106334163	722.5985593
461	235.581	0.633	465	3.114643242	733.7507696
466	238.447	0.634	470	3.129114792	746.1280349
471	241.336	0.636	475	3.13684229	757.0329709
476	244.376	0.637	480	3.146201664	768.8561779
481	247.691	0.64	485	3.157039786	781.9703416
486	251.327	0.643	490	3.167988544	796.2010568
491	255.151	0.646	495	3.177414235	810.7204194
496	259.004	0.649	500	3.185320782	825.0108238
501	262.727	0.651	505	3.192866492	838.8522348
506	266.218	0.653	510	3.200542384	852.0419923
511	269.499	0.654	515	3.208194225	864.6051356
516	272.609	0.654	520	3.217039207	876.9938411
521	275.587	0.655	525	3.219196474	887.1686987
526	278.461	0.656	530	3.222999233	897.4795893
531	281.237	0.657	535	3.225895078	907.241054
536	283.92	0.658	540	3.228116006	916.5266964
541	286.511	0.658	545	3.232498081	926.1462576
546	289.053	0.658	550	3.232996645	934.5073792
551	291.67	0.658	555	3.234778206	943.4877594
556	294.496	0.658	560	3.233339473	952.2055416
561	297.668	0.658	565	3.232144249	962.1059142
566	301.207	0.66	570	3.23291143	973.775553
571	304.883	0.662	575	3.231956473	985.3685855
576	308.431	0.663	580	3.232551522	997.0190983
581	311.588	0.664	585	3.233139411	1007.407443
586	314.238	0.664	590	3.234316439	1016.345129
591	316.605	0.663	595	3.230152402	1022.682401
596	318.954	0.663	600	3.23253975	1031.031483
601	321.552	0.663	605	3.247780304	1044.330252
606	324.548	0.664	610	3.226065252	1047.013025
611	327.832	0.666	615	3.236287858	1060.958721
616	331.257	0.668	620	3.229655682	1069.846052
621	334.677	0.669	625	3.232926886	1081.986271
626	337.997	0.671	620	3.23	1091.73031
631	341.24	0.672	635	3.233279633	1103.324342
636	344.443	0.672	640	3.232450759	1113.395037
641	347.641	0.673	645	3.240212023	1126.430548
646	350.835	0.674	650	3.235892171	1135.26423
651	353.94	0.674	655	3.249063226	1149.973438
656	356.86	0.674	660	3.270814586	1167.222893
661	359.501	0.674	665	3.28	1179.16328
666	361.839	0.674	670	3.29220767	1191.249131
671	364.01	0.673	675	3.297614913	1200.364804
676	366.171	0.672	680	3.33785448	1222.225513
681	368.481	0.672	685	3.391032651	1249.531102
686	371.033	0.671	690	3.464415688	1285.412546
691	373.78	0.671	695	3.547861291	1326.119593
696	376.654	0.671	700	3.657246603	1377.516562
701	379.589	0.671	705	3.788429906	1438.04632
706	382.541	0.671	710	3.919625139	1499.41732
711	385.519	0.672	715	4.062777703	1566.277997
716	388.541	0.673	720	4.189895922	1627.946351
721	391.622	0.673	725	4.32429373	1693.488559
726	394.747	0.674	730	4.454913498	1758.563739
731	397.835	0.674	735	4.575568226	1820.321185
736	400.791	0.674	740	4.68506695	1877.732668
741	403.525	0.674	745	4.795409416	1935.067585
746	406.016	0.674	750	4.868196505	1976.565672
751	408.408	0.673	755	4.949913148	2021.584129
756	410.87	0.673	760	5.014870835	2060.45998
761	413.566	0.673	765	5.09121672	2105.554134
766	416.558	0.674	770	5.143953841	2142.755124
771	419.682	0.674	775	5.182546099	2175.021312
776	422.737	0.675	780	5.246312494	2217.810405
781	425.528	0.675	785	5.26	2238.27728
786	427.956	0.674	790	5.2872584	2262.713956
791	430.148	0.674	795	5.320563434	2288.62972
796	432.261	0.673	800	5.347688979	2311.597386
801	434.452	0.672	805	5.372138004	2333.9361
806	436.844	0.672	810	5.389349191	2354.304858
811	439.487	0.672	815	5.421083627	2382.49578
816	442.419	0.672	820	5.445766397	2409.310523
821	445.68	0.673	825	5.501065342	2451.714802
826	449.236	0.674	830	5.528875576	2483.769948
831	452.887	0.676	835	5.554903887	2515.743756
836	456.415	0.676	840	5.586594106	2549.805349
841	459.599	0.677	845	5.649783117	2596.634671
846	462.334	0.677	850	5.634732752	2605.128532
851	464.772	0.677	855	5.705842077	2651.915634
856	467.097	0.676	860	5.772800123	2696.457619
861	469.494	0.676	865	5.76485114	2706.563021
866	472.082	0.676	870	5.819797521	2747.421653
871	474.827	0.676	875	5.876004342	2790.085513
876	477.678	0.676	880	5.922091723	2828.85293
881	480.583	0.676	885	5.973272155	2870.653052
886	483.482	0.677	890	6.131181245	2964.315771
891	486.311	0.677	895	6.045228173	2939.860958
896	488.998	0.677	900	6.145847936	3005.307349
901	491.476	0.677	905	6.144007413	3019.632187
906	493.735	0.676	910	6.190221533	3056.329029
911	495.898	0.675	915	6.23430154	3091.577665
916	498.106	0.675	920	6.313871618	3144.977336
921	500.5	0.674	925	6.35334333	3179.848337
926	503.174	0.674	930	6.395552746	3218.075857
931	506.116	0.674	935	6.470311888	3274.728371
936	509.298	0.674	940	6.559067842	3340.520134
941	512.695	0.675	945	6.59285537	3380.123984
946	516.143	0.676	950	6.65126072	3433.001662
951	519.18	0.676	955	6.709666626	3483.524719
956	521.302	0.676	960	6.740428892	3513.799062
961	522.004	0.673	965	6.787782966	3543.249859
966	521.053	0.669	970	6.829988054	3558.785766
971	518.819	0.663	975	6.894669989	3577.085789
976	515.752	0.656	980	6.961664787	3590.492537
981	512.299	0.648	985	7.024646296	3598.719273
986	508.603	0.64	990	7.068854133	3595.240418
991	504.115	0.631	995	7.174717695	3616.882811
996	498.196	0.62	1000	7.24671124	3610.282553
1001	490.207	0.607	1005	7.286020811	3571.658404
1006	479.756	0.591	1010	7.405030704	3552.607911
1011	467.005	0.573	1015	7.503171884	3504.018786
1016	452.186	0.552	1020	7.604774093	3438.772378
1021	435.534	0.529	1025	7.708273091	3357.215012
1026	417.132	0.504	1030	7.826715492	3264.773486
1031	396.727	0.477	1035	8.022001436	3182.544564
1036	374.022	0.448	1040	8.191428453	3063.774453
1041	348.719	0.415	1045	8.403852489	2930.583036
1046	321.065	0.381	1050	8.630808912	2771.050663
1051	292.511	0.346	1055	8.938369788	2614.571485
1056	264.672	0.311	1060	9.163315117	2425.272939
1061	239.159	0.28	1065	9.373121196	2241.666292
1066	216.95	0.253	1070	9.553735553	2072.682928
1071	197.606	0.229	1075	9.758443122	1928.326911
1076	180.499	0.207	1080	9.959560039	1797.690627
1081	164.999	0.188	1085	10.26839671	1694.275189
1086	150.619	0.171	1090	10.2656037	1546.194963
1091	137.188	0.155	1095	10.37267362	1423.006348
1096	124.58	0.14	1100	10.31397415	1284.914899
1101	112.667	0.126	1105	10	1126.67
1106	101.362	0.113	1110	10	1013.62
1111	90.667	0.101	1115	10	906.67
1116	80.597	0.09	1120	10	805.97
1121	71.165	0.079	1125	10	711.65
1126	62.376	0.069	1130	10	623.76
