wl(nm)  cal_pd_sens(A/W)  cal_QE  pd_ratio  mon_pd_charge(pC) cal_pd_charge(pC)
240.0      0.14135        0.000   2.719668     2.7197e+00       1.0000e+00
245.0      0.14060        0.000   2.826077     2.8261e+00       1.0000e+00
250.0      0.13703        0.000   2.782328     2.7823e+00       1.0000e+00
255.0      0.13193        0.000   2.779454     2.7795e+00       1.0000e+00
260.0      0.12602        0.000   2.949909     2.9499e+00       1.0000e+00
265.0      0.11823        0.000   2.826605     2.8266e+00       1.0000e+00
270.0      0.10889        0.000   2.908856     2.9089e+00       1.0000e+00
275.0      0.10204        0.000   2.958856     2.9589e+00       1.0000e+00
280.0      0.10064        0.000   2.942424     2.9424e+00       1.0000e+00
285.0      0.10400        0.000   3.026298     3.0263e+00       1.0000e+00
290.0      0.11068        0.000   3.028314     3.0283e+00       1.0000e+00
295.0      0.11857        0.000   3.049923     3.0499e+00       1.0000e+00
300.0      0.12594        0.000   3.078438     3.0784e+00       1.0000e+00
305.0      0.13212        0.000   3.087470     3.0875e+00       1.0000e+00
310.0      0.13668        0.000   3.083940     3.0839e+00       1.0000e+00
315.0      0.13939        0.000   3.084909     3.0849e+00       1.0000e+00
320.0      0.14070        0.000   3.078081     3.0781e+00       1.0000e+00
325.0      0.14250        0.000   3.059976     3.0600e+00       1.0000e+00
330.0      0.14588        0.000   3.046359     3.0464e+00       1.0000e+00
335.0      0.14974        0.000   3.034708     3.0347e+00       1.0000e+00
340.0      0.15280        0.000   3.027311     3.0273e+00       1.0000e+00
345.0      0.15407        0.000   3.004202     3.0042e+00       1.0000e+00
350.0      0.15350        0.000   3.002190     3.0022e+00       1.0000e+00
355.0      0.15301        0.000   2.975431     2.9754e+00       1.0000e+00
360.0      0.15365        0.000   2.972299     2.9723e+00       1.0000e+00
365.0      0.15395        0.000   2.974200     2.9742e+00       1.0000e+00
370.0      0.15342        0.000   2.948353     2.9484e+00       1.0000e+00
375.0      0.15447        0.000   2.949155     2.9492e+00       1.0000e+00
380.0      0.15876        0.000   2.952790     2.9528e+00       1.0000e+00
385.0      0.16548        0.000   2.957086     2.9571e+00       1.0000e+00
390.0      0.17324        0.000   2.973981     2.9740e+00       1.0000e+00
395.0      0.18025        0.000   2.976084     2.9761e+00       1.0000e+00
400.0      0.18550        0.000   2.979694     2.9797e+00       1.0000e+00
405.0      0.18985        0.000   2.994641     2.9946e+00       1.0000e+00
410.0      0.19412        0.000   3.015983     3.0160e+00       1.0000e+00
415.0      0.19838        0.000   3.005098     3.0051e+00       1.0000e+00
420.0      0.20262        0.000   3.038280     3.0383e+00       1.0000e+00
425.0      0.20684        0.000   3.027217     3.0272e+00       1.0000e+00
430.0      0.21101        0.000   3.042449     3.0424e+00       1.0000e+00
435.0      0.21508        0.000   3.047796     3.0478e+00       1.0000e+00
440.0      0.21900        0.000   3.057066     3.0571e+00       1.0000e+00
445.0      0.22273        0.000   3.071453     3.0715e+00       1.0000e+00
450.0      0.22622        0.000   3.081553     3.0816e+00       1.0000e+00
455.0      0.22951        0.000   3.089487     3.0895e+00       1.0000e+00
460.0      0.23262        0.000   3.106334     3.1063e+00       1.0000e+00
465.0      0.23558        0.000   3.114643     3.1146e+00       1.0000e+00
470.0      0.23845        0.000   3.129115     3.1291e+00       1.0000e+00
475.0      0.24134        0.000   3.136842     3.1368e+00       1.0000e+00
480.0      0.24438        0.000   3.146202     3.1462e+00       1.0000e+00
485.0      0.24769        0.000   3.157040     3.1570e+00       1.0000e+00
