 wl(nm)  cal_pd_sens(A/W)  cal_QE  pd_ratio  mon_pd_charge(pC) cal_pd_charge(pC)
 200.0      0.12500        0.000    240.500    8.9000e-01     3.7000e-03
 210.0      0.13200        0.000    242.080    9.6500e-01     3.9700e-03
 220.0      0.13300        0.000    243.660    1.0400e+00     4.2400e-03
 230.0      0.13900        0.000    245.240    1.1150e+00     4.5100e-03
 240.0      0.14100        0.000    246.820    1.1900e+00     4.7800e-03
 250.0      0.13300        0.000    248.400    1.2650e+00     5.0500e-03
 260.0      0.12000        0.000    249.980    1.3400e+00     5.3200e-03
 270.0      0.10300        0.000    251.560    1.4150e+00     5.5900e-03
 280.0      0.10300        0.000    253.140    1.4900e+00     5.8600e-03
 290.0      0.11700        0.000    254.720    1.5650e+00     6.1300e-03
 300.0      0.13100        0.000    256.300    1.6400e+00     6.4000e-03
 310.0      0.13900        0.000    257.330    1.3552e+01     5.1060e-02
 320.0      0.14200        0.000    258.360    2.5464e+01     9.5720e-02
 330.0      0.14900        0.000    259.390    3.7376e+01     1.4038e-01
 340.0      0.15400        0.000    260.420    4.9288e+01     1.8504e-01
 350.0      0.15300        0.000    261.450    6.1200e+01     2.2970e-01
 360.0      0.15400        0.000    262.480    7.3112e+01     2.7436e-01
 370.0      0.15400        0.000    263.510    8.5024e+01     3.1902e-01
 380.0      0.16400        0.000    264.540    9.6936e+01     3.6368e-01
 390.0      0.17900        0.000    265.570    1.0885e+02     4.0834e-01
 400.0      0.18900        0.000    266.600    1.2076e+02     4.5300e-01
 420.0      0.20600        0.000    266.800    1.1111e+02     4.1660e-01
 440.0      0.22200        0.000    267.000    1.0146e+02     3.8020e-01
 460.0      0.23500        0.000    267.200    9.1810e+01     3.4380e-01
 480.0      0.24700        0.000    267.400    8.2160e+01     3.0740e-01
 500.0      0.26200        0.000    267.600    7.2510e+01     2.7100e-01
 520.0      0.27500        0.000    267.180    6.9478e+01     2.6000e-01
 540.0      0.28600        0.000    266.760    6.6446e+01     2.4900e-01
 560.0      0.29700        0.000    266.340    6.3414e+01     2.3800e-01
 580.0      0.31100        0.000    265.920    6.0382e+01     2.2700e-01
 600.0      0.32100        0.000    265.500    5.7350e+01     2.1600e-01
 620.0      0.33400        0.000    265.620    5.6366e+01     2.1220e-01
 640.0      0.34700        0.000    265.740    5.5382e+01     2.0840e-01
 660.0      0.35900        0.000    265.860    5.4398e+01     2.0460e-01
 680.0      0.36800        0.000    265.980    5.3414e+01     2.0080e-01
 700.0      0.37900        0.000    266.100    5.2430e+01     1.9700e-01
 720.0      0.39100        0.000    262.240    4.7324e+01     1.7940e-01
 740.0      0.40300        0.000    258.380    4.2218e+01     1.6180e-01
 760.0      0.41300        0.000    254.520    3.7112e+01     1.4420e-01
 780.0      0.42500        0.000    250.660    3.2006e+01     1.2660e-01
 800.0      0.43400        0.000    246.800    2.6900e+01     1.0900e-01
 820.0      0.44500        0.000    251.340    3.2460e+01     1.2780e-01
 840.0      0.45900        0.000    255.880    3.8020e+01     1.4660e-01
 860.0      0.46900        0.000    260.420    4.3580e+01     1.6540e-01
 880.0      0.48000        0.000    264.960    4.9140e+01     1.8420e-01
 900.0      0.49100        0.000    269.500    5.4700e+01     2.0300e-01
 920.0      0.50000        0.000    274.460    4.7880e+01     1.7640e-01
 940.0      0.51200        0.000    279.420    4.1060e+01     1.4980e-01
 960.0      0.52200        0.000    284.380    3.4240e+01     1.2320e-01
 980.0      0.51300        0.000    289.340    2.7420e+01     9.6600e-02
 1000.0      0.49200        0.000    294.300    2.0600e+01     7.0000e-02
 1020.0      0.43900        0.000    289.440    1.6804e+01     5.7200e-02
 1040.0      0.35400        0.000    284.580    1.3008e+01     4.4400e-02
 1060.0      0.24400        0.000    279.720    9.2120e+00     3.1600e-02
 1080.0      0.16800        0.000    274.860    5.4160e+00     1.8800e-02
 1100.0      0.10500        0.000    270.000    1.6200e+00     6.0000e-03
