pd_area = 1.050e-04
 wl(nm)  cal_pd_sens(A/W)   pd_ratio
 200.0      0.12500         2.724e+02
 205.0      0.12850         2.659e+02
 210.0      0.13200         2.637e+02
 215.0      0.13250         2.668e+02
 220.0      0.13300         2.665e+02
 225.0      0.13600         2.713e+02
 230.0      0.13900         2.669e+02
 235.0      0.14000         2.563e+02
 240.0      0.14100         2.648e+02
 245.0      0.13700         2.662e+02
 250.0      0.13300         2.567e+02
 255.0      0.12650         2.583e+02
 260.0      0.12000         2.633e+02
 265.0      0.11150         2.700e+02
 270.0      0.10300         2.613e+02
 275.0      0.10300         2.668e+02
 280.0      0.10300         2.631e+02
 285.0      0.11000         2.609e+02
 290.0      0.11700         2.621e+02
 295.0      0.12400         2.594e+02
 300.0      0.13100         2.598e+02
 305.0      0.13500         2.622e+02
 310.0      0.13900         2.566e+02
 315.0      0.14050         2.584e+02
 320.0      0.14200         2.576e+02
 325.0      0.14550         2.621e+02
 330.0      0.14900         2.606e+02
 335.0      0.15150         2.626e+02
 340.0      0.15400         2.621e+02
 345.0      0.15350         2.606e+02
 350.0      0.15300         2.601e+02
 355.0      0.15350         2.624e+02
 360.0      0.15400         2.628e+02
 365.0      0.15400         2.644e+02
 370.0      0.15400         2.639e+02
 375.0      0.15900         2.651e+02
 380.0      0.16400         2.654e+02
 385.0      0.17150         2.651e+02
 390.0      0.17900         2.661e+02
 395.0      0.18400         2.658e+02
 400.0      0.18900         2.665e+02
 405.0      0.19325         2.647e+02
 410.0      0.19750         2.667e+02
 415.0      0.20175         2.660e+02
 420.0      0.20600         2.676e+02
 425.0      0.21000         2.665e+02
 430.0      0.21400         2.661e+02
 435.0      0.21800         2.649e+02
 440.0      0.22200         2.632e+02
 445.0      0.22525         2.658e+02
 450.0      0.22850         2.656e+02
 455.0      0.23175         2.641e+02
 460.0      0.23500         2.637e+02
 465.0      0.23800         2.620e+02
 470.0      0.24100         2.643e+02
 475.0      0.24400         2.635e+02
 480.0      0.24700         2.635e+02
 485.0      0.25075         2.620e+02
 490.0      0.25450         2.629e+02
 495.0      0.25825         2.620e+02
 500.0      0.26200         2.630e+02
 505.0      0.26525         2.636e+02
 510.0      0.26850         2.627e+02
 515.0      0.27175         2.633e+02
 520.0      0.27500         2.625e+02
 525.0      0.27775         2.632e+02
 530.0      0.28050         2.657e+02
 535.0      0.28325         2.648e+02
 540.0      0.28600         2.623e+02
 545.0      0.28875         2.634e+02
 550.0      0.29150         2.613e+02
 555.0      0.29425         2.680e+02
 560.0      0.29700         2.648e+02
 565.0      0.30050         2.635e+02
 570.0      0.30400         2.627e+02
 575.0      0.30750         2.650e+02
 580.0      0.31100         2.659e+02
 585.0      0.31350         2.640e+02
 590.0      0.31600         2.644e+02
 595.0      0.31850         2.656e+02
 600.0      0.32100         2.639e+02
 605.0      0.32425         2.643e+02
 610.0      0.32750         2.647e+02
 615.0      0.33075         2.654e+02
 620.0      0.33400         2.629e+02
 625.0      0.33725         2.640e+02
 630.0      0.34050         2.654e+02
 635.0      0.34375         2.649e+02
 640.0      0.34700         2.662e+02
 645.0      0.35000         2.665e+02
 650.0      0.35300         2.652e+02
 655.0      0.35600         2.646e+02
 660.0      0.35900         2.691e+02
 665.0      0.36125         2.668e+02
 670.0      0.36350         2.659e+02
 675.0      0.36575         2.654e+02
 680.0      0.36800         2.658e+02
 685.0      0.37075         2.670e+02
 690.0      0.37350         2.673e+02
 695.0      0.37625         2.672e+02
 700.0      0.37900         2.668e+02
 705.0      0.38200         2.672e+02
 710.0      0.38500         2.659e+02
 715.0      0.38800         2.669e+02
 720.0      0.39100         2.675e+02
 725.0      0.39400         2.647e+02
 730.0      0.39700         2.662e+02
 735.0      0.40000         2.657e+02
 740.0      0.40300         2.655e+02
 745.0      0.40550         2.659e+02
 750.0      0.40800         2.666e+02
 755.0      0.41050         2.675e+02
 760.0      0.41300         2.648e+02
 765.0      0.41600         2.666e+02
 770.0      0.41900         2.659e+02
 775.0      0.42200         2.667e+02
 780.0      0.42500         2.684e+02
 785.0      0.42725         2.694e+02
 790.0      0.42950         2.688e+02
 795.0      0.43175         2.682e+02
 800.0      0.43400         2.675e+02
 805.0      0.43675         2.656e+02
 810.0      0.43950         2.679e+02
 815.0      0.44225         2.683e+02
 820.0      0.44500         2.671e+02
 825.0      0.44850         2.659e+02
 830.0      0.45200         2.650e+02
 835.0      0.45550         2.672e+02
 840.0      0.45900         2.674e+02
 845.0      0.46150         2.689e+02
 850.0      0.46400         2.680e+02
 855.0      0.46650         2.689e+02
 860.0      0.46900         2.689e+02
 865.0      0.47175         2.668e+02
 870.0      0.47450         2.681e+02
 875.0      0.47725         2.676e+02
 880.0      0.48000         2.680e+02
 885.0      0.48275         2.677e+02
 890.0      0.48550         2.651e+02
 895.0      0.48825         2.682e+02
 900.0      0.49100         2.675e+02
 905.0      0.49325         2.676e+02
 910.0      0.49550         2.664e+02
 915.0      0.49775         2.673e+02
 920.0      0.50000         2.669e+02
 925.0      0.50300         2.656e+02
 930.0      0.50600         2.696e+02
 935.0      0.50900         2.692e+02
 940.0      0.51200         2.688e+02
 945.0      0.51033         2.724e+02
 950.0      0.50867         2.690e+02
 955.0      0.50700         2.676e+02
 960.0      0.50533         2.675e+02
 965.0      0.50367         2.670e+02
 970.0      0.50200         2.665e+02
 975.0      0.50033         2.687e+02
 980.0      0.49867         2.690e+02
 985.0      0.49700         2.713e+02
 990.0      0.49533         2.694e+02
 995.0      0.49367         2.704e+02
 1000.0      0.49200         2.749e+02
 1005.0      0.47875         2.738e+02
 1010.0      0.46550         2.763e+02
 1015.0      0.45225         2.782e+02
 1020.0      0.43900         2.766e+02
 1025.0      0.41775         2.768e+02
 1030.0      0.39650         2.783e+02
 1035.0      0.37525         2.835e+02
 1040.0      0.35400         2.854e+02
 1045.0      0.32650         1.823e+02
 1050.0      0.29900         2.924e+02
 1055.0      0.27150         2.934e+02
 1060.0      0.24400         2.890e+02
 1065.0      0.22500         2.906e+02
 1070.0      0.20600         2.955e+02
 1075.0      0.18700         2.981e+02
 1080.0      0.16800         2.905e+02
 1085.0      0.15225         2.897e+02
 1090.0      0.13650         2.837e+02
 1095.0      0.12075         2.790e+02
 1100.0      0.10500         2.799e+02
