pd_area = 1.050e-04
wl(nm) cal_pd_sens(A/W) pd_ratio
200.0 0.12500 113.302
205.0 0.12851 113.302
210.0 0.13200 114.966
215.0 0.13250 114.771
220.0 0.13301 115.322
225.0 0.13601 115.213
230.0 0.13900 115.347
235.0 0.14000 115.333
240.0 0.14100 115.683
245.0 0.13698 115.106
250.0 0.13300 115.740
255.0 0.12651 115.518
260.0 0.11998 115.416
265.0 0.11152 115.607
270.0 0.10300 115.544
275.0 0.10300 116.118
280.0 0.10303 115.639
285.0 0.10999 116.361
290.0 0.11699 116.301
295.0 0.12399 116.573
300.0 0.13097 116.874
305.0 0.13501 119.120
310.0 0.13900 127.564
315.0 0.14050 130.832
320.0 0.14201 134.592
325.0 0.14550 137.626
330.0 0.14900 139.617
335.0 0.15149 138.807
340.0 0.15400 139.049
345.0 0.15350 138.964
350.0 0.15300 138.783
355.0 0.15350 138.623
360.0 0.15400 139.057
365.0 0.15400 140.700
370.0 0.15402 142.848
375.0 0.15900 144.929
380.0 0.16398 147.282
385.0 0.17150 148.658
390.0 0.17901 149.821
395.0 0.18401 150.831
400.0 0.18902 151.665
405.0 0.19326 151.897
410.0 0.19751 152.572
415.0 0.20175 152.407
420.0 0.20599 152.252
425.0 0.21000 152.665
430.0 0.21402 152.076
435.0 0.21799 152.893
440.0 0.22200 152.486
445.0 0.22525 152.482
450.0 0.22849 152.713
455.0 0.23174 152.637
460.0 0.23501 152.186
465.0 0.23799 152.027
470.0 0.24100 151.947
475.0 0.24401 151.918
480.0 0.24701 151.973
485.0 0.25076 152.040
490.0 0.25451 152.667
495.0 0.25825 151.600
500.0 0.26199 151.587
505.0 0.26525 152.127
510.0 0.26851 151.430
515.0 0.27176 149.153
520.0 0.27501 151.856
525.0 0.27776 151.508
530.0 0.28050 151.150
535.0 0.28326 151.668
540.0 0.28599 151.632
545.0 0.28875 151.619
550.0 0.29150 151.582
555.0 0.29424 151.545
560.0 0.29699 151.783
565.0 0.30050 151.401
570.0 0.30401 151.424
575.0 0.30749 151.566
580.0 0.31099 151.926
585.0 0.31351 152.067
590.0 0.31600 151.815
595.0 0.31850 152.025
600.0 0.32100 152.293
605.0 0.32425 152.333
610.0 0.32750 152.381
615.0 0.33074 152.829
620.0 0.33401 152.566
625.0 0.33724 152.841
630.0 0.34049 152.776
635.0 0.34374 152.888
640.0 0.34699 152.757
645.0 0.35000 152.849
650.0 0.35301 152.745
655.0 0.35599 152.519
660.0 0.35901 152.012
665.0 0.36125 151.966
670.0 0.36350 150.860
675.0 0.36575 149.485
680.0 0.36800 147.394
685.0 0.37074 144.400
690.0 0.37351 140.472
695.0 0.37624 135.808
700.0 0.37900 131.511
705.0 0.38199 127.109
720.0 0.39100 117.660
725.0 0.39400 115.574
730.0 0.39699 114.501
735.0 0.40000 113.579
740.0 0.40301 112.648
745.0 0.40551 112.562
750.0 0.40799 111.834
755.0 0.41051 111.709
760.0 0.41301 111.168
765.0 0.41600 111.348
770.0 0.41899 111.304
775.0 0.42200 110.982
780.0 0.42500 111.207
785.0 0.42725 111.145
790.0 0.42950 111.085
795.0 0.43175 110.740
800.0 0.43400 111.029
805.0 0.43674 111.063
810.0 0.43950 111.207
815.0 0.44224 110.938
820.0 0.44501 111.096
825.0 0.44849 111.160
830.0 0.45199 111.216
835.0 0.45551 111.262
840.0 0.45899 110.877
845.0 0.46149 112.180
850.0 0.46401 110.899
855.0 0.46649 111.595
860.0 0.46899 110.916
865.0 0.47176 111.183
870.0 0.47449 110.998
875.0 0.47726 111.395
880.0 0.48000 111.774
885.0 0.48275 111.203
890.0 0.48550 111.282
895.0 0.48826 111.574
900.0 0.49101 111.012
905.0 0.49325 111.361
910.0 0.49550 110.475
915.0 0.49775 111.758
920.0 0.50000 111.170
925.0 0.50300 111.261
930.0 0.50599 111.579
935.0 0.50900 112.817
940.0 0.51199 111.619
945.0 0.51033 111.386
950.0 0.50867 111.364
955.0 0.50700 111.795
960.0 0.50534 111.950
965.0 0.50366 111.884
970.0 0.50200 111.716
975.0 0.50033 111.367
980.0 0.49866 111.756
985.0 0.49700 111.687
990.0 0.49534 112.951
995.0 0.49366 112.897
1000.0 0.49200 113.535
1005.0 0.47872 112.983
1010.0 0.46553 113.682
1015.0 0.45222 113.457
1020.0 0.43903 114.574
1025.0 0.41771 115.519
1030.0 0.39654 116.294
1035.0 0.37521 116.783
1040.0 0.35395 117.244
1045.0 0.32655 117.074
1050.0 0.29905 118.846
1055.0 0.27150 118.729
1060.0 0.24405 119.451
1065.0 0.22500 118.962
1070.0 0.20596 118.539
1075.0 0.18696 117.885
1080.0 0.16804 117.612
1085.0 0.15222 117.648
1090.0 0.13647 114.853
1095.0 0.12078 114.002
1100.1 0.10500 114.002
