wl(nm)  cal_pd_sens(A/W)  cal_QE  pd_ratio  mon_pd_charge(pC) cal_pd_charge(pC)
400.0      0.18170        0.000   87.963722     8.7964e+01       1.0000e+00
410.0      0.19100        0.000   87.850835     8.7851e+01       1.0000e+00
420.0      0.19950        0.000   87.695656     8.7696e+01       1.0000e+00
430.0      0.20730        0.000   87.553725     8.7554e+01       1.0000e+00
440.0      0.21490        0.000   87.372018     8.7372e+01       1.0000e+00
450.0      0.22190        0.000   87.159830     8.7160e+01       1.0000e+00
460.0      0.22890        0.000   86.971133     8.6971e+01       1.0000e+00
470.0      0.23550        0.000   86.721718     8.6722e+01       1.0000e+00
480.0      0.24200        0.000   86.439998     8.6440e+01       1.0000e+00
490.0      0.24830        0.000   86.121917     8.6122e+01       1.0000e+00
500.0      0.25460        0.000   85.817336     8.5817e+01       1.0000e+00
510.0      0.26070        0.000   85.568202     8.5568e+01       1.0000e+00
520.0      0.26680        0.000   85.288543     8.5289e+01       1.0000e+00
530.0      0.27280        0.000   85.032374     8.5032e+01       1.0000e+00
540.0      0.27880        0.000   84.812140     8.4812e+01       1.0000e+00
550.0      0.28470        0.000   84.600155     8.4600e+01       1.0000e+00
560.0      0.29060        0.000   84.412461     8.4412e+01       1.0000e+00
570.0      0.29640        0.000   84.258310     8.4258e+01       1.0000e+00
580.0      0.30220        0.000   84.121912     8.4122e+01       1.0000e+00
590.0      0.30800        0.000   84.011364     8.4011e+01       1.0000e+00
600.0      0.31370        0.000   83.924345     8.3924e+01       1.0000e+00
610.0      0.31940        0.000   83.845759     8.3846e+01       1.0000e+00
620.0      0.32510        0.000   83.770468     8.3770e+01       1.0000e+00
630.0      0.33080        0.000   83.726682     8.3727e+01       1.0000e+00
640.0      0.33640        0.000   84.888205     8.4888e+01       1.0000e+00
650.0      0.34200        0.000   84.269727     8.4270e+01       1.0000e+00
660.0      0.34760        0.000   84.013789     8.4014e+01       1.0000e+00
670.0      0.35320        0.000   83.784814     8.3785e+01       1.0000e+00
680.0      0.35880        0.000   83.629537     8.3630e+01       1.0000e+00
690.0      0.36440        0.000   83.516491     8.3516e+01       1.0000e+00
700.0      0.36990        0.000   83.416699     8.3417e+01       1.0000e+00
710.0      0.37550        0.000   83.228144     8.3228e+01       1.0000e+00
720.0      0.38110        0.000   83.064282     8.3064e+01       1.0000e+00
730.0      0.38660        0.000   82.907252     8.2907e+01       1.0000e+00
740.0      0.39210        0.000   82.806288     8.2806e+01       1.0000e+00
750.0      0.39760        0.000   82.750256     8.2750e+01       1.0000e+00
760.0      0.40310        0.000   82.744123     8.2744e+01       1.0000e+00
770.0      0.40870        0.000   82.753677     8.2754e+01       1.0000e+00
780.0      0.41420        0.000   82.794288     8.2794e+01       1.0000e+00
790.0      0.41960        0.000   82.867696     8.2868e+01       1.0000e+00
800.0      0.42510        0.000   82.923760     8.2924e+01       1.0000e+00
810.0      0.43060        0.000   82.958281     8.2958e+01       1.0000e+00
820.0      0.43600        0.000   82.934896     8.2935e+01       1.0000e+00
830.0      0.44150        0.000   82.864870     8.2865e+01       1.0000e+00
840.0      0.44700        0.000   82.699446     8.2699e+01       1.0000e+00
850.0      0.45240        0.000   82.454563     8.2455e+01       1.0000e+00
860.0      0.45780        0.000   82.124980     8.2125e+01       1.0000e+00
870.0      0.46330        0.000   81.746196     8.1746e+01       1.0000e+00
880.0      0.46860        0.000   81.340604     8.1341e+01       1.0000e+00
890.0      0.47390        0.000   80.919180     8.0919e+01       1.0000e+00
900.0      0.47930        0.000   80.510813     8.0511e+01       1.0000e+00
910.0      0.48450        0.000   80.142748     8.0143e+01       1.0000e+00
920.0      0.48980        0.000   79.670408     7.9670e+01       1.0000e+00
930.0      0.49460        0.000   79.267526     7.9268e+01       1.0000e+00
940.0      0.49910        0.000   78.877796     7.8878e+01       1.0000e+00
950.0      0.50280        0.000   78.497782     7.8498e+01       1.0000e+00
960.0      0.50700        0.000   78.134669     7.8135e+01       1.0000e+00
970.0      0.50700        0.000   77.815041     7.7815e+01       1.0000e+00
980.0      0.50400        0.000   77.563060     7.7563e+01       1.0000e+00
990.0      0.49800        0.000   77.368684     7.7369e+01       1.0000e+00
1000.0      0.48500        0.000   77.296542     7.7297e+01       1.0000e+00
