wl	intsphere	ccdpos
400.0	-2.390978e-08	-2.718141e-10
410.0	-2.420981e-08	-2.755786e-10
420.0	-2.456664e-08	-2.801352e-10
430.0	-2.495437e-08	-2.850178e-10
440.0	-2.540116e-08	-2.907242e-10
450.0	-2.586488e-08	-2.967523e-10
460.0	-2.630615e-08	-3.024699e-10
470.0	-2.693861e-08	-3.106328e-10
480.0	-2.769337e-08	-3.203768e-10
490.0	-2.855311e-08	-3.315429e-10
500.0	-2.927667e-08	-3.41151e-10
510.0	-3.004546e-08	-3.511288e-10
520.0	-3.078571e-08	-3.609595e-10
530.0	-3.150935e-08	-3.705571e-10
540.0	-3.227174e-08	-3.805085e-10
550.0	-3.296753e-08	-3.896864e-10
560.0	-3.363623e-08	-3.984747e-10
570.0	-3.424572e-08	-4.064373e-10
580.0	-3.482097e-08	-4.139346e-10
590.0	-3.529661e-08	-4.201409e-10
600.0	-3.573413e-08	-4.257898e-10
610.0	-3.612217e-08	-4.308169e-10
620.0	-3.642985e-08	-4.34877e-10
630.0	-3.667834e-08	-4.380723e-10
640.0	-3.158921e-08	-3.721272e-10
650.0	-3.41002e-08	-4.046554e-10
660.0	-3.535764e-08	-4.208552e-10
670.0	-3.649948e-08	-4.356336e-10
680.0	-3.727902e-08	-4.457638e-10
690.0	-3.772723e-08	-4.517339e-10
700.0	-3.793507e-08	-4.547659e-10
710.0	-3.802629e-08	-4.568922e-10
720.0	-3.793221e-08	-4.566609e-10
730.0	-3.776878e-08	-4.555546e-10
740.0	-3.751914e-08	-4.530953e-10
750.0	-3.723222e-08	-4.499348e-10
760.0	-3.682015e-08	-4.449881e-10
770.0	-3.646151e-08	-4.406029e-10
780.0	-3.605091e-08	-4.354275e-10
790.0	-3.565642e-08	-4.302813e-10
800.0	-3.527629e-08	-4.254063e-10
810.0	-3.493676e-08	-4.211365e-10
820.0	-3.472849e-08	-4.18744e-10
830.0	-3.461172e-08	-4.176887e-10
840.0	-3.465928e-08	-4.190993e-10
850.0	-3.487861e-08	-4.23004e-10
860.0	-3.520996e-08	-4.287363e-10
870.0	-3.564632e-08	-4.360609e-10
880.0	-3.617481e-08	-4.447325e-10
890.0	-3.66669e-08	-4.531299e-10
900.0	-3.712232e-08	-4.610849e-10
910.0	-3.792669e-08	-4.732392e-10
920.0	-3.83713e-08	-4.816255e-10
930.0	-3.865385e-08	-4.876379e-10
940.0	-3.886914e-08	-4.927767e-10
950.0	-3.902237e-08	-4.971143e-10
960.0	-3.908093e-08	-5.00174e-10
970.0	-3.90856e-08	-5.022885e-10
980.0	-3.903029e-08	-5.032072e-10
990.0	-3.879843e-08	-5.014746e-10
1000.0	-3.838159e-08	-4.965499e-10
